Japanese	NORP	free-trd	2
UFO	EVENT	germ	2
AFFIDAVIT	PERSON	goldtrig	2
Vietnamese	NORP	goldtrig	2
Meo	NORP	goldtrig	2
British	NORP	goldtrig	2
CBS	ORG	goldtrig	2
Sunspots	LOC	gravac	2
Japanese	NORP	gun-ctrl	2
ASSOCIATION	ORG	gvtscrcy	2
Patriots	NORP	handbank	2
British	NORP	hertecon	2
McCarthy	PERSON	hoover	2
New York	GPE	hoover	2
Russian	NORP	hoover	2
Jews	NORP	if_entap	2
Jewish	NORP	if_entap	2
North	LOC	if_entap	2
Jewels	NORP	if_entap	2
Jewels	NORP	if_felcr	2
Felloweraft	NORP	if_felcr	2
Egyptian	NORP	if_felcr	2
Jewish	NORP	if_felcr	2
Westminster	GPE	if_felcr	2
Dropa	NORP	illumhis	2
Egyptians	NORP	illumhis	2
North	LOC	illumhis	2
Columbia	GPE	illumhis	2
Jew	NORP	illumhis	2
Marconi	PERSON	illumhis	2
Zion	NORP	illumhis	2
North Carolina	LOC	illumhis	2
McCarthy	PERSON	illumhis	2
North Slope	LOC	illumin	2
North Sea	LOC	illumin	2
Freemasonry	NORP	illumin	2
Zion	NORP	illumina	2
Pennsylvania	GPE	incon001	2
Buffalo	GPE	incon001	2
Babylonia	GPE	incon001	2
Moon	LOC	incon001	2
North	LOC	incon002	2
Sun	LOC	incon002	2
